"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.259339900E-2,-2.484000015E1,-5.819999695E0,-3.923999786E1,4.680465187E1
2.061952200E-2,-2.501999855E1,-6.000000000E0,-3.918000031E1,4.687294264E1
2.852357500E-2,-2.526000023E1,-6.059999943E0,-3.887999725E1,4.675944180E1
3.648866300E-2,-2.592000008E1,-6.000000000E0,-3.845999908E1,4.676556354E1
4.439271500E-2,-2.579999924E1,-5.879999638E0,-3.834000015E1,4.658508311E1
5.235780300E-2,-2.609999847E1,-5.819999695E0,-3.804000092E1,4.649864500E1
6.035340900E-2,-2.621999931E1,-6.059999943E0,-3.797999954E1,4.654774246E1
6.825746100E-2,-2.561999893E1,-6.119999886E0,-3.809999847E1,4.631898777E1
7.622254900E-2,-2.615999985E1,-6.119999886E0,-3.804000092E1,4.657082413E1
8.415712000E-2,-2.597999954E1,-6.000000000E0,-3.791999817E1,4.635608522E1
9.212220800E-2,-2.592000008E1,-5.759999752E0,-3.779999924E1,4.619376520E1
1.000567780E-1,-2.634000015E1,-5.519999981E0,-3.804000092E1,4.659729260E1
1.079608310E-1,-2.597999954E1,-5.219999790E0,-3.804000092E1,4.636000910E1
1.159564360E-1,-2.585999870E1,-5.339999676E0,-3.809999847E1,4.635585198E1
1.238604890E-1,-2.585999870E1,-5.460000038E0,-3.797999954E1,4.627128157E1
1.317950590E-1,-2.579999924E1,-5.759999752E0,-3.797999954E1,4.627416042E1
1.397906650E-1,-2.621999931E1,-6.239999771E0,-3.725999832E1,4.598623094E1
1.476947170E-1,-2.621999931E1,-6.179999828E0,-3.750000000E1,4.617283576E1
1.556292880E-1,-2.615999985E1,-5.819999695E0,-3.768000031E1,4.623851654E1
1.635638580E-1,-2.645999908E1,-5.819999695E0,-3.743999863E1,4.621425587E1
1.715289460E-1,-2.585999870E1,-5.279999733E0,-3.809999847E1,4.634897856E1
1.795245510E-1,-2.568000031E1,-5.219999790E0,-3.786000061E1,4.604444005E1
1.874591220E-1,-2.550000000E1,-5.099999905E0,-3.839999771E1,4.637693202E1
1.954547270E-1,-2.507999992E1,-5.039999962E0,-3.839999771E1,4.614073927E1
2.033587800E-1,-2.519999886E1,-5.339999676E0,-3.857999802E1,4.638934992E1
2.112933500E-1,-2.561999893E1,-5.339999676E0,-3.852000046E1,4.656919988E1
2.192889560E-1,-2.597999954E1,-5.519999981E0,-3.827999878E1,4.659172762E1
2.271624910E-1,-2.639999962E1,-5.279999733E0,-3.821999741E1,4.675047143E1
2.351275790E-1,-2.639999962E1,-5.219999790E0,-3.821999741E1,4.674373305E1
2.430621490E-1,-2.621999931E1,-5.099999905E0,-3.839999771E1,4.677668423E1
2.510882720E-1,-2.645999908E1,-5.099999905E0,-3.839999771E1,4.691163368E1
2.589923250E-1,-2.627999878E1,-5.460000038E0,-3.875999832E1,4.714644638E1
2.668963770E-1,-2.639999962E1,-5.759999752E0,-3.863999939E1,4.715068536E1
2.748309480E-1,-2.687999916E1,-6.420000076E0,-3.870000076E1,4.755460877E1
2.827655180E-1,-2.639999962E1,-6.359999657E0,-3.900000000E1,4.752272694E1
2.907611240E-1,-2.639999962E1,-6.299999714E0,-3.845999908E1,4.707251327E1
2.987262110E-1,-2.639999962E1,-6.059999943E0,-3.857999802E1,4.713915385E1
3.066302640E-1,-2.603999901E1,-5.460000038E0,-3.870000076E1,4.696363708E1
3.145648340E-1,-2.615999985E1,-5.579999924E0,-3.852000046E1,4.689640100E1
3.224994050E-1,-2.609999847E1,-5.460000038E0,-3.881999969E1,4.709579490E1
3.304644930E-1,-2.603999901E1,-5.579999924E0,-3.881999969E1,4.707664308E1
3.384600980E-1,-2.592000008E1,-5.699999809E0,-3.905999756E1,4.722308557E1
3.463641510E-1,-2.615999985E1,-5.819999695E0,-3.923999786E1,4.751836930E1
3.542987210E-1,-2.615999985E1,-5.879999638E0,-3.929999924E1,4.757530796E1
3.622332920E-1,-2.657999992E1,-5.940000057E0,-3.923999786E1,4.776565114E1
3.702288970E-1,-2.681999969E1,-5.940000057E0,-3.875999832E1,4.750719371E1
3.781939850E-1,-2.651999855E1,-5.879999638E0,-3.857999802E1,4.718369385E1
3.860980380E-1,-2.621999931E1,-5.940000057E0,-3.845999908E1,4.692487074E1
3.940326080E-1,-2.634000015E1,-5.940000057E0,-3.857999802E1,4.709029046E1
4.019671780E-1,-2.634000015E1,-6.239999771E0,-3.857999802E1,4.712907226E1
4.099627840E-1,-2.621999931E1,-6.480000019E0,-3.839999771E1,4.694718936E1
4.179278720E-1,-2.639999962E1,-6.299999714E0,-3.821999741E1,4.687662720E1
4.258624420E-1,-2.555999947E1,-6.119999886E0,-3.839999771E1,4.653308281E1
4.338580470E-1,-2.550000000E1,-5.940000057E0,-3.821999741E1,4.632819662E1
4.417621000E-1,-2.555999947E1,-5.699999809E0,-3.827999878E1,4.638061963E1
4.497271880E-1,-2.585999870E1,-6.119999886E0,-3.870000076E1,4.694554282E1
4.576922760E-1,-2.627999878E1,-5.940000057E0,-3.834000015E1,4.686019151E1
4.655963290E-1,-2.615999985E1,-5.819999695E0,-3.863999939E1,4.702411659E1
4.735308990E-1,-2.651999855E1,-5.940000057E0,-3.881999969E1,4.738761758E1
4.814654690E-1,-2.657999992E1,-5.879999638E0,-3.852000046E1,4.716843465E1
4.894305570E-1,-2.615999985E1,-6.299999714E0,-3.815999985E1,4.669283860E1
4.974261630E-1,-2.603999901E1,-5.940000057E0,-3.827999878E1,4.667679783E1
5.053302150E-1,-2.597999954E1,-5.879999638E0,-3.804000092E1,4.643895392E1
5.132647860E-1,-2.621999931E1,-5.639999866E0,-3.845999908E1,4.688783949E1
5.212298740E-1,-2.687999916E1,-5.400000095E0,-3.881999969E1,4.752564289E1
5.291644440E-1,-2.700000000E1,-5.579999924E0,-3.804000092E1,4.698061376E1
5.371600490E-1,-2.705999947E1,-5.699999809E0,-3.809999847E1,4.707805702E1
5.450641020E-1,-2.634000015E1,-5.759999752E0,-3.809999847E1,4.667529420E1
5.530291900E-1,-2.621999931E1,-6.000000000E0,-3.809999847E1,4.663794858E1
5.610247950E-1,-2.603999901E1,-6.179999828E0,-3.863999939E1,4.700344135E1
5.689898830E-1,-2.597999954E1,-5.879999638E0,-3.875999832E1,4.703054584E1
5.769244540E-1,-2.639999962E1,-6.000000000E0,-3.852000046E1,4.708237903E1
5.848285060E-1,-2.615999985E1,-5.639999866E0,-3.839999771E1,4.680507467E1
5.928241120E-1,-2.627999878E1,-5.639999866E0,-3.839999771E1,4.687224934E1
6.007586820E-1,-2.645999908E1,-5.819999695E0,-3.827999878E1,4.689735872E1
6.087542880E-1,-2.639999962E1,-5.639999866E0,-3.857999802E1,4.708700272E1
6.167193750E-1,-2.621999931E1,-5.819999695E0,-3.863999939E1,4.705752133E1
6.246234280E-1,-2.627999878E1,-6.239999771E0,-3.875999832E1,4.724313075E1
6.325579990E-1,-2.579999924E1,-6.359999657E0,-3.875999832E1,4.699390414E1
6.404925690E-1,-2.592000008E1,-6.359999657E0,-3.870000076E1,4.701048882E1
6.484576570E-1,-2.573999977E1,-6.299999714E0,-3.900000000E1,4.715122039E1
6.564227450E-1,-2.603999901E1,-5.639999866E0,-3.881999969E1,4.708379257E1
6.643267970E-1,-2.609999847E1,-5.219999790E0,-3.900000000E1,4.721714009E1
6.722613680E-1,-2.550000000E1,-5.519999981E0,-3.852000046E1,4.652430370E1
6.802264560E-1,-2.531999969E1,-5.519999981E0,-3.804000092E1,4.602840921E1
6.881610260E-1,-2.555999947E1,-5.699999809E0,-3.852000046E1,4.657890086E1
6.961566310E-1,-2.568000031E1,-6.119999886E0,-3.852000046E1,4.669804332E1
7.040912020E-1,-2.621999931E1,-5.940000057E0,-3.887999725E1,4.726971706E1
7.120257720E-1,-2.669999886E1,-5.579999924E0,-3.881999969E1,4.744490188E1
7.200213770E-1,-2.627999878E1,-5.219999790E0,-3.852000046E1,4.692203287E1
