Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.012582339,14.27999973,7.019999981,-42.23999786,45.13774708
0.020486392,14.63999939,7.139999866,-42.47999954,45.49570904
0.02845148,15.05999947,7.440000057,-42.59999847,45.7921069
0.03638605,15.35999966,7.679999828,-42.11999893,45.48633088
0.044381656,15.53999996,7.980000019,-42.41999817,45.87622744
0.052346744,15.65999985,8.099999428,-42.18000031,45.71649606
0.060220279,15.77999973,8.340000153,-42.18000031,45.80083427
0.068215884,15.71999931,8.220000267,-42.23999786,45.81379926
0.076119937,16.37999916,8.039999962,-41.93999863,45.7373967
0.084085025,16.37999916,8.039999962,-42.05999756,45.84745758
0.09208063,15.96000004,7.739999771,-41.87999725,45.4814618
0.099984683,16.31999969,7.980000019,-42.36000061,46.09113192
0.107919253,16.13999939,7.799999714,-41.81999969,45.50002143
0.115853824,16.13999939,7.679999828,-41.70000076,45.36928522
0.123818912,16.31999969,7.559999943,-42.23999786,45.90984
0.131845035,15.71999931,7.199999809,-41.70000076,45.1425347
0.139779605,15.35999966,7.379999638,-42.18000031,45.49226758
0.14777521,15.47999954,7.319999695,-42,45.3565076
0.155679263,15.65999985,7.079999924,-41.75999832,45.15816044
0.163644351,15.89999962,7.139999866,-42.18000031,45.63925954
0.171670474,15.96000004,7.5,-42.29999924,45.82861046
0.179574527,15.47999954,7.559999943,-42.59999847,45.95153811
0.187570132,15.17999935,7.679999828,-42.18000031,45.48150397
0.195504703,15.47999954,7.980000019,-42.47999954,45.91144898
0.203439273,15.59999943,7.739999771,-42.65999985,46.07757769
0.211434878,15.77999973,7.799999714,-42,45.53952555
0.219338931,16.26000023,8.039999962,-42.77999878,46.46673544
0.227304019,16.19999886,8.220000267,-42.54000092,46.2564595
0.235269107,15.77999973,8.399999619,-42.65999985,46.25412384
0.243203677,15.89999962,8.399999619,-43.13999939,46.73788109
0.251199283,15.71999931,8.399999619,-42.89999771,46.45522765
0.259072818,15.47999954,8.159999847,-42.54000092,45.99856151
0.267068423,15.77999973,7.980000019,-42.29999924,45.84734155
0.275002994,15.35999966,7.980000019,-42.36000061,45.76002231
0.282937564,15.35999966,7.739999771,-42.05999756,45.44095708
0.290963687,15.8399992,7.859999657,-42.59999847,46.12423484
0.29886774,15.8399992,7.799999714,-42.54000092,46.05862838
0.306832828,16.31999969,8.279999733,-42.77999878,46.529873
0.314767398,16.19999886,8.340000153,-42.71999741,46.44344673
0.322732486,15.42000008,8.099999428,-42.47999954,45.91227237
0.330758609,15.42000008,8.159999847,-42.65999985,46.08945201
0.338662662,15.42000008,7.679999828,-42.47999954,45.84003884
0.346658267,15.8399992,7.619999886,-42.71999741,46.19489313
0.354592837,16.37999916,7.440000057,-42.89999771,46.51954188
0.362527408,16.26000023,7.259999752,-42.77999878,46.33814303
0.370523013,16.13999939,7.440000057,-42.65999985,46.2139456
0.378427066,15.47999954,7.5,-42.65999985,45.99734745
0.386392154,15.23999977,7.440000057,-42.41999817,45.68443322
0.394357242,15.71999931,7.799999714,-42.29999924,45.7957237
0.402291812,15.11999989,7.5,-42.89999771,46.10069631
0.410287417,15.47999954,7.619999886,-42.71999741,46.07269216
0.418160953,15.59999943,7.799999714,-42.89999771,46.30993178
0.426156558,15.29999924,7.679999828,-42.89999771,46.18963279
0.434091128,15.8399992,7.739999771,-42.23999786,45.77150413
0.442025699,15.77999973,7.679999828,-42.18000031,45.68526255
0.450021304,15.65999985,7.440000057,-42.47999954,45.88179985
0.457925357,15.42000008,7.259999752,-42.65999985,45.93865024
0.465890445,15.65999985,7.559999943,-42.77999878,46.17918893
0.473855533,15.65999985,7.739999771,-43.13999939,46.54248316
0.481820621,16.02000046,7.919999599,-42.41999817,46.03067513
0.489816226,16.26000023,7.859999657,-42.71999741,46.3806574
0.497720279,15.96000004,7.559999943,-42.71999741,46.22632777
0.505685367,16.02000046,7.5,-42.47999954,46.01565794
0.513680972,15.71999931,7.559999943,-42.77999878,46.19957005
0.521615542,15.42000008,8.159999847,-42.36000061,45.81191604
0.52958063,15.29999924,7.919999599,-42.41999817,45.78506978
0.537484683,15.65999985,7.799999714,-42.18000031,45.66429696
0.545449771,15.8399992,7.679999828,-42.29999924,45.81678631
0.553353824,15.77999973,7.079999924,-41.87999725,45.31080401
0.561318912,15.96000004,7.199999809,-42,45.50342403
0.569314517,15.23999977,7.319999695,-42.29999924,45.55359397
0.57721857,15.17999935,7.379999638,-42.18000031,45.43180825
0.58515314,15.05999947,7.559999943,-42.71999741,45.923364
0.59308771,15,7.379999638,-42.18000031,45.37198277
0.601052798,15.47999954,6.960000038,-41.93999863,45.2441761
0.609078921,15.53999996,7.259999752,-41.81999969,45.20079169
0.616982974,16.07999992,7.440000057,-41.70000076,45.30794701
0.62497858,16.07999992,7.799999714,-41.81999969,45.47877271
0.632882632,16.19999886,8.340000153,-41.81999969,45.61696987
0.64084772,16.26000023,8.039999962,-41.87999725,45.63949361
0.648873843,16.19999886,7.799999714,-41.57999802,45.30095135
0.656808414,16.31999969,7.619999886,-41.70000076,45.42352752
0.664804019,16.68000031,7.739999771,-41.75999832,45.62923916
0.672738589,16.55999947,7.5,-41.57999802,45.38039023
0.68067316,16.44000053,7.559999943,-41.70000076,45.45676276
0.688638248,16.61999893,7.980000019,-41.52000046,45.42923291
0.6965423,16.02000046,7.5,-41.45999908,45.07573559
0.704507388,15.8399992,7.679999828,-41.87999725,45.42930928
