"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.342594000E-2,2.045999908E1,1.385999966E1,-4.145999908E1,4.826637211E1
2.142154600E-2,2.069999886E1,1.415999985E1,-4.170000076E1,4.866092490E1
2.938663300E-2,2.111999893E1,1.446000004E1,-4.152000046E1,4.877557169E1
3.732120400E-2,2.142000008E1,1.469999981E1,-4.152000046E1,4.897771775E1
4.522525700E-2,2.202000046E1,1.523999977E1,-4.145999908E1,4.935655516E1
5.315982700E-2,2.231999969E1,1.493999958E1,-4.091999817E1,4.894723919E1
6.115543200E-2,2.207999992E1,1.488000011E1,-4.068000031E1,4.861895952E1
6.905948500E-2,2.177999878E1,1.500000000E1,-4.050000000E1,4.836960147E1
7.699405500E-2,2.160000038E1,1.475999928E1,-4.050000000E1,4.821480680E1
8.489810800E-2,2.135999870E1,1.511999989E1,-4.091999817E1,4.857273094E1
9.283267800E-2,2.123999977E1,1.505999947E1,-4.097999954E1,4.855204977E1
1.008588010E-1,2.105999947E1,1.493999958E1,-4.104000092E1,4.848720285E1
1.087628540E-1,2.069999886E1,1.481999969E1,-4.061999893E1,4.793857170E1
1.167584600E-1,2.045999908E1,1.446000004E1,-4.025999832E1,4.741909561E1
1.246625120E-1,2.057999992E1,1.446000004E1,-4.037999725E1,4.757280921E1
1.325970830E-1,2.069999886E1,1.463999939E1,-4.025999832E1,4.757821980E1
1.406232060E-1,2.081999969E1,1.469999981E1,-4.079999924E1,4.810615677E1
1.485577760E-1,2.118000031E1,1.523999977E1,-4.145999908E1,4.898756506E1
1.565228640E-1,2.135999870E1,1.559999943E1,-4.170000076E1,4.938116635E1
1.644574340E-1,2.195999908E1,1.577999973E1,-4.157999802E1,4.959986075E1
1.723920050E-1,2.202000046E1,1.589999962E1,-4.163999939E1,4.971498725E1
1.803570920E-1,2.213999939E1,1.577999973E1,-4.145999908E1,4.957942606E1
1.882611450E-1,2.160000038E1,1.529999924E1,-4.086000061E1,4.868459349E1
1.962262330E-1,2.123999977E1,1.493999958E1,-4.145999908E1,4.892108647E1
2.041913210E-1,2.081999969E1,1.500000000E1,-4.187999725E1,4.911625553E1
2.121869260E-1,2.081999969E1,1.493999958E1,-4.181999969E1,4.904679754E1
2.201520140E-1,2.171999931E1,1.559999943E1,-4.236000061E1,5.009479019E1
2.280560670E-1,2.171999931E1,1.571999931E1,-4.163999939E1,4.952541063E1
2.360211550E-1,2.189999962E1,1.589999962E1,-4.157999802E1,4.961165394E1
2.439557250E-1,2.171999931E1,1.565999985E1,-4.115999985E1,4.910335582E1
